{\rtf1\ansi\ansicpg1252\cocoartf2511
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red25\green25\blue25;\red255\green255\blue255;}
{\*\expandedcolortbl;;\cssrgb\c12941\c12941\c12941;\cssrgb\c100000\c100000\c100000;}
\margl1440\margr1440\vieww23560\viewh14640\viewkind0
\deftab720
\pard\pardeftab720\sl320\partightenfactor0

\f0\fs28 \cf2 \cb3 \expnd0\expndtw0\kerning0
Train Epoch: 7 [1280/9600 (13%)]	Train Loss: 612.795227	Val Loss: 4.787447	Val Acc: 0.9375\
Train Epoch: 7 [2560/9600 (27%)]	Train Loss: 612.817932	Val Loss: 4.787496	Val Acc: 1.25\
Train Epoch: 7 [3840/9600 (40%)]	Train Loss: 612.811462	Val Loss: 4.787506	Val Acc: 0.625\
Train Epoch: 7 [5120/9600 (53%)]	Train Loss: 612.797119	Val Loss: 4.787484	Val Acc: 0.625\
Train Epoch: 7 [6400/9600 (67%)]	Train Loss: 612.810303	Val Loss: 4.787506	Val Acc: 0.78125\
Train Epoch: 7 [7680/9600 (80%)]	Train Loss: 612.793884	Val Loss: 4.787492	Val Acc: 0.625\
Train Epoch: 7 [8960/9600 (93%)]	Train Loss: 612.811829	Val Loss: 4.787488	Val Acc: 0.78125\
Train Epoch: 8 [0/9600 (0%)]	Train Loss: 612.802856	Val Loss: 4.787508	Val Acc: 0.625\
Train Epoch: 8 [1280/9600 (13%)]	Train Loss: 612.787903	Val Loss: 4.787522	Val Acc: 1.25\
Train Epoch: 8 [2560/9600 (27%)]	Train Loss: 612.802734	Val Loss: 4.787461	Val Acc: 1.09375\
Train Epoch: 8 [3840/9600 (40%)]	Train Loss: 612.801147	Val Loss: 4.787489	Val Acc: 1.09375\
Train Epoch: 8 [5120/9600 (53%)]	Train Loss: 612.790894	Val Loss: 4.787473	Val Acc: 0.78125\
Train Epoch: 8 [6400/9600 (67%)]	Train Loss: 612.803650	Val Loss: 4.787493	Val Acc: 1.40625\
Train Epoch: 8 [7680/9600 (80%)]	Train Loss: 612.804260	Val Loss: 4.787520	Val Acc: 0.9375\
Train Epoch: 8 [8960/9600 (93%)]	Train Loss: 612.798645	Val Loss: 4.787470	Val Acc: 0.78125\
Train Epoch: 9 [0/9600 (0%)]	Train Loss: 612.809570	Val Loss: 4.787460	Val Acc: 0.9375\
Train Epoch: 9 [1280/9600 (13%)]	Train Loss: 612.782349	Val Loss: 4.787474	Val Acc: 0.46875\
Train Epoch: 9 [2560/9600 (27%)]	Train Loss: 612.806091	Val Loss: 4.787317	Val Acc: 1.40625\
Train Epoch: 9 [3840/9600 (40%)]	Train Loss: 612.802185	Val Loss: 4.787467	Val Acc: 0.9375\
Train Epoch: 9 [5120/9600 (53%)]	Train Loss: 612.766724	Val Loss: 4.787422	Val Acc: 0.78125\
Train Epoch: 9 [6400/9600 (67%)]	Train Loss: 612.800171	Val Loss: 4.787382	Val Acc: 0.625\
Train Epoch: 9 [7680/9600 (80%)]	Train Loss: 612.793274	Val Loss: 4.787396	Val Acc: 1.09375\
Train Epoch: 9 [8960/9600 (93%)]	Train Loss: 612.787048	Val Loss: 4.787374	Val Acc: 1.40625\
Train Epoch: 10 [0/9600 (0%)]	Train Loss: 612.737305	Val Loss: 4.787240	Val Acc: 0.78125\
Train Epoch: 10 [1280/9600 (13%)]	Train Loss: 612.889343	Val Loss: 4.787125	Val Acc: 0.78125\
Train Epoch: 10 [2560/9600 (27%)]	Train Loss: 612.825745	Val Loss: 4.786825	Val Acc: 0.9375\
Train Epoch: 10 [3840/9600 (40%)]	Train Loss: 612.796265	Val Loss: 4.793277	Val Acc: 0.625\
Train Epoch: 10 [5120/9600 (53%)]	Train Loss: 614.604370	Val Loss: 4.792071	Val Acc: 0.9375\
Train Epoch: 10 [6400/9600 (67%)]	Train Loss: 613.002380	Val Loss: 4.788604	Val Acc: 0.46875\
Train Epoch: 10 [7680/9600 (80%)]	Train Loss: 612.796753	Val Loss: 4.787437	Val Acc: 1.09375\
Train Epoch: 10 [8960/9600 (93%)]	Train Loss: 612.797607	Val Loss: 4.787505	Val Acc: 0.625\
Train Epoch: 11 [0/9600 (0%)]	Train Loss: 612.797852	Val Loss: 4.787450	Val Acc: 1.40625\
Train Epoch: 11 [1280/9600 (13%)]	Train Loss: 612.789062	Val Loss: 4.787524	Val Acc: 0.78125\
Train Epoch: 11 [2560/9600 (27%)]	Train Loss: 612.793274	Val Loss: 4.787483	Val Acc: 1.71875\
Train Epoch: 11 [3840/9600 (40%)]	Train Loss: 612.795166	Val Loss: 4.787492	Val Acc: 0.78125\
Train Epoch: 11 [5120/9600 (53%)]	Train Loss: 612.793091	Val Loss: 4.787470	Val Acc: 1.09375\
Train Epoch: 11 [6400/9600 (67%)]	Train Loss: 612.796936	Val Loss: 4.787430	Val Acc: 1.25\
Train Epoch: 11 [7680/9600 (80%)]	Train Loss: 612.787903	Val Loss: 4.787502	Val Acc: 0.78125\
Train Epoch: 11 [8960/9600 (93%)]	Train Loss: 612.798340	Val Loss: 4.787447	Val Acc: 0.9375\
Train Epoch: 12 [0/9600 (0%)]	Train Loss: 612.800537	Val Loss: 4.787511	Val Acc: 0.625\
Train Epoch: 12 [1280/9600 (13%)]	Train Loss: 612.774231	Val Loss: 4.787435	Val Acc: 0.9375\
Train Epoch: 12 [2560/9600 (27%)]	Train Loss: 613.719604	Val Loss: 4.788794	Val Acc: 1.25\
Train Epoch: 12 [3840/9600 (40%)]	Train Loss: 613.616638	Val Loss: 4.793890	Val Acc: 0.78125\
Train Epoch: 12 [5120/9600 (53%)]	Train Loss: 614.618835	Val Loss: 4.795456	Val Acc: 0.625\
Train Epoch: 12 [6400/9600 (67%)]	Train Loss: 613.610107	Val Loss: 4.797060	Val Acc: 0.46875\
Train Epoch: 12 [7680/9600 (80%)]	Train Loss: 612.618958	Val Loss: 4.789211	Val Acc: 1.25\
Train Epoch: 12 [8960/9600 (93%)]	Train Loss: 614.618958	Val Loss: 4.789211	Val Acc: 1.25\
Train Epoch: 13 [0/9600 (0%)]	Train Loss: 613.618958	Val Loss: 4.795461	Val Acc: 0.625\
Train Epoch: 13 [1280/9600 (13%)]	Train Loss: 612.618958	Val Loss: 4.793898	Val Acc: 0.78125\
Train Epoch: 13 [2560/9600 (27%)]	Train Loss: 613.618958	Val Loss: 4.795461	Val Acc: 0.625\
Train Epoch: 13 [3840/9600 (40%)]	Train Loss: 614.618958	Val Loss: 4.795461	Val Acc: 0.625\
Train Epoch: 13 [5120/9600 (53%)]	Train Loss: 612.618958	Val Loss: 4.793898	Val Acc: 0.78125\
Train Epoch: 13 [6400/9600 (67%)]	Train Loss: 614.618958	Val Loss: 4.793898	Val Acc: 0.78125\
Train Epoch: 13 [7680/9600 (80%)]	Train Loss: 613.618958	Val Loss: 4.795461	Val Acc: 0.625\
Train Epoch: 13 [8960/9600 (93%)]	Train Loss: 614.618958	Val Loss: 4.790773	Val Acc: 1.09375\
Train Epoch: 14 [0/9600 (0%)]	Train Loss: 613.618958	Val Loss: 4.786086	Val Acc: 1.5625\
Train Epoch: 14 [1280/9600 (13%)]	Train Loss: 614.618958	Val Loss: 4.795461	Val Acc: 0.625\
Train Epoch: 14 [2560/9600 (27%)]	Train Loss: 612.618958	Val Loss: 4.790773	Val Acc: 1.09375\
Train Epoch: 14 [3840/9600 (40%)]	Train Loss: 614.618958	Val Loss: 4.792336	Val Acc: 0.9375\
Train Epoch: 14 [5120/9600 (53%)]	Train Loss: 613.618958	Val Loss: 4.789211	Val Acc: 1.25\
Train Epoch: 14 [6400/9600 (67%)]	Train Loss: 612.618958	Val Loss: 4.789211	Val Acc: 1.25\
Train Epoch: 14 [7680/9600 (80%)]	Train Loss: 614.618958	Val Loss: 4.797023	Val Acc: 0.46875\
Train Epoch: 14 [8960/9600 (93%)]	Train Loss: 613.618958	Val Loss: 4.795461	Val Acc: 0.625\
Train Epoch: 15 [0/9600 (0%)]	Train Loss: 613.618958	Val Loss: 4.795461	Val Acc: 0.625\
Train Epoch: 15 [1280/9600 (13%)]	Train Loss: 614.618958	Val Loss: 4.792336	Val Acc: 0.9375\
Train Epoch: 15 [2560/9600 (27%)]	Train Loss: 613.618958	Val Loss: 4.792336	Val Acc: 0.9375\
Train Epoch: 15 [3840/9600 (40%)]	Train Loss: 611.618958	Val Loss: 4.797023	Val Acc: 0.46875\
Train Epoch: 15 [5120/9600 (53%)]	Train Loss: 612.618958	Val Loss: 4.790773	Val Acc: 1.09375\
Train Epoch: 15 [6400/9600 (67%)]	Train Loss: 613.618958	Val Loss: 4.793898	Val Acc: 0.78125\
Train Epoch: 15 [7680/9600 (80%)]	Train Loss: 614.618958	Val Loss: 4.793898	Val Acc: 0.78125\
Train Epoch: 15 [8960/9600 (93%)]	Train Loss: 612.618958	Val Loss: 4.790773	Val Acc: 1.09375\
Train Epoch: 16 [0/9600 (0%)]	Train Loss: 613.618958	Val Loss: 4.793898	Val Acc: 0.78125\
